,EMOTION,TWEET_ID
1,NONE,1401047081121353728
2,NONE,1258159310162595843
3,ANTICIPATION,1272748988626862082
4,TRUST,1349385638722883585
5,NONE,1360615587114844161
6,ANTICIPATION,1384487745033162755
7,DISGUST,1335343584875327494
8,JOY,1257755579101003776
9,NONE,1280317186930851845
10,NONE,1317288163065401345
11,NONE,1255373406624776194
12,JOY,1387166593306841093
13,DISGUST,1346308397218623494
14,TRUST,1449093106083762186
15,DISGUST,1277088043862802432
16,JOY,1246594978492616706
17,JOY,1344199875181871110
18,ANTICIPATION,1253678034751590402
19,ANTICIPATION,1245296274699628549
20,SURPRISE,1255647686956589056
21,FEAR,1425108321128824834
22,ANTICIPATION,1375502470575718401
23,DISGUST,1252666550378655744
24,ANTICIPATION,1282286476378681344
25,DISGUST,1347047870722174977
26,TRUST,1266519595583758337
27,JOY,1267871716178489345
28,ANGER,1288290404992000001
29,JOY,1348170783256944640
30,JOY,1267239286069477381
31,ANGER,1248653894554697732
32,TRUST,1270048509849411585
33,NONE,1426708852511289344
34,SURPRISE,1287596938863542273
35,DISGUST,1346478699286155267
36,NONE,1354979100239212545
37,JOY,1278075797849415681
38,DISGUST,1316212646295855104
39,JOY,1278001194271727618
40,ANTICIPATION,1249343309899870209
41,JOY,1381962188294774792
42,ANGER,1279094934318878720
43,ANGER,1358314204298547200
44,NONE,1260323615955988485
45,NONE,1247706191079321600
46,TRUST,1341497091818987527
47,JOY,1307476997757636608
48,ANGER,1360252497575763973
49,DISGUST,1382456557942738944
50,NONE,1297172463294521344
51,ANGER,1322964063291396096
52,SADNESS,1443052099101671427
53,FEAR,1421317389497548800
54,ANGER,1275820585377988608
55,NONE,1251014327265636353
56,TRUST,1248104690245603330
57,JOY,1268564334017470466
58,TRUST,1282087650753753089
59,TRUST,1247544720907276293
60,SADNESS,1272020227887443969
61,ANTICIPATION,1395508321994649611
62,SADNESS,1251762301813886977
63,TRUST,1376225671719030786
64,DISGUST,1332718138782228480
65,SURPRISE,1281386060644311040
66,ANGER,1437518210581110785
67,SADNESS,1382699225427886094
68,DISGUST,1271622651186995200
69,TRUST,1308295355864215555
70,TRUST,1325295810549047296
71,DISGUST,1250266513573060608
72,ANTICIPATION,1339337066610614274
73,ANGER,1272366604643377154
74,ANTICIPATION,1385960731691012099
75,ANTICIPATION,1332928082328621063
76,ANGER,1256396607102373888
77,TRUST,1263169360870416388
78,JOY,1245219428633055232
79,SURPRISE,1265132181061500928
80,NONE,1383413522286080010
81,TRUST,1426557330603352065
82,DISGUST,1272632771375054848
83,JOY,1283926252492029952
84,SADNESS,1337635641954160643
85,ANTICIPATION,1252717394969063424
86,JOY,1328464692931682309
87,SURPRISE,1285595074689032192
88,NONE,1249485378723237892
89,SADNESS,1245184545734918145
90,DISGUST,1284331653121310721
91,ANGER,1328748002597539840
92,ANGER,1442880273398566920
93,ANTICIPATION,1251937504602787841
94,FEAR,1288817516039540736
95,JOY,1296447043255382017
96,SURPRISE,1304096654921011204
97,TRUST,1405183753077600262
98,ANTICIPATION,1263893242623528961
99,ANGER,1247605367615324161
100,SURPRISE,1249472711371321344
101,SADNESS,1347312783415783424
102,SADNESS,1435429690433576961
103,ANGER,1443723214748897285
104,SURPRISE,1300294843525144576
105,SADNESS,1355701594986336256
106,ANGER,1345793971864403970
107,NONE,1418580550785376262
108,SURPRISE,1263947799529308160
109,TRUST,1322369049922203648
110,NONE,1253484090763984902
111,ANTICIPATION,1433941801979711499
112,ANGER,1289198749760200706
113,NONE,1342296052238577664
114,ANGER,1332888608215363586
115,SADNESS,1305200318507085825
116,JOY,1268370216121237504
117,JOY,1336402658429706240
118,ANGER,1271598319362551809
119,SADNESS,1337597829963890690
120,DISGUST,1396974334099353603
121,ANGER,1424716374803423233
122,SADNESS,1447715691029696512
123,DISGUST,1354580467480199172
124,JOY,1259548852303982592
125,SADNESS,1287582942395396096
126,NONE,1263354261364039680
127,SURPRISE,1414077796192817152
128,ANGER,1382089966302416900
129,JOY,1449947635054305280
130,ANTICIPATION,1300176873591312384
131,DISGUST,1391235127808692230
132,ANGER,1347646983645892609
133,TRUST,1263877838832234496
134,TRUST,1259539048617480192
135,DISGUST,1353825659655581696
136,SURPRISE,1346109960153915392
137,NONE,1351618918629175296
138,DISGUST,1266078824997040128
139,NONE,1268350970892742656
140,NONE,1287010009579171841
141,JOY,1338709623428308993
142,SURPRISE,1272918138007494656
143,DISGUST,1350285821820227590
144,SURPRISE,1275535037165965314
145,DISGUST,1302615634803666952
146,ANGER,1254160715583238146
147,NONE,1350250566971236356
148,TRUST,1374876828138098690
149,TRUST,1351984224409157633
150,ANTICIPATION,1309893923158896640
151,NONE,1249672711296647170
152,FEAR,1442945835059187714
153,DISGUST,1251188492815806464
154,NONE,1436011730878930983
155,TRUST,1346891603479293952
156,ANTICIPATION,1351201613743083520
157,NONE,1278437796819152897
158,NONE,1309492599107985408
159,NONE,1351665087338209280
160,SURPRISE,1310008999870427137
161,JOY,1266863564909879296
162,JOY,1252634893848281092
163,SURPRISE,1351341113794244609
164,JOY,1263587404268503042
165,ANTICIPATION,1291507597820989440
166,DISGUST,1307997663225282560
167,ANGER,1322547932244054016
168,SURPRISE,1247381118145396742
169,ANGER,1251522118803755015
170,NONE,1249872106302500870
171,ANTICIPATION,1327470848647831557
172,NONE,1379883086188515339
173,NONE,1366640035748012034
174,DISGUST,1245861884537876480
175,JOY,1343598899110408192
176,SURPRISE,1446338701483724831
177,DISGUST,1348882782269788161
178,SURPRISE,1291956230802608128
179,ANGER,1294338129009078272
180,SURPRISE,1251713386544594945
181,SURPRISE,1352740079010275328
182,DISGUST,1325252057071235073
183,SURPRISE,1277032549945094145
184,SURPRISE,1311151416485048325
185,ANTICIPATION,1258757006342721537
186,NONE,1247522390969421831
187,SURPRISE,1294049125059530753
188,NONE,1361147719834771456
189,ANTICIPATION,1379131038148988932
190,FEAR,1253493993213767684
191,NONE,1378731948298878983
192,ANGER,1250062610948595712
193,TRUST,1453214310080077825
194,JOY,1282485427878928384
195,SURPRISE,1261676126918844417
196,ANTICIPATION,1301888366737338369
197,NONE,1249435584285888515
198,JOY,1271211602285662214
199,TRUST,1446996526979588101
200,NONE,1275740744465240066
201,ANTICIPATION,1263308083431956480
202,ANGER,1340076554001522697
203,SURPRISE,1283956091475329026
204,NONE,1402642783211565076
205,NONE,1297643970105872384
206,TRUST,1280172303268093952
207,SURPRISE,1435299097091715075
208,TRUST,1253731380485222400
209,NONE,1289689478362271744
210,JOY,1332022971314151424
211,ANTICIPATION,1274723385377992705
212,ANTICIPATION,1414296479460696065
213,ANTICIPATION,1273457731501002752
214,TRUST,1365695626009313284
215,DISGUST,1246094888950796293
216,NONE,1353299511960068096
217,DISGUST,1320550915104002057
218,ANGER,1279065997207638017
219,SADNESS,1272428257137303552
220,NONE,1289345421848977409
221,SURPRISE,1452343428700803073
222,ANGER,1432491671850192898
223,TRUST,1388905120549810186
224,NONE,1348999757927227393
225,ANGER,1447008384478236674
226,NONE,1332052556873420804
227,TRUST,1282075331483045889
228,JOY,1283783234040537094
229,NONE,1251963058081103874
230,ANTICIPATION,1250479816081575937
231,NONE,1281642165479907330
232,SADNESS,1412950582923567105
233,SURPRISE,1253013417578782721
234,TRUST,1393730806829420546
235,JOY,1340347182730399745
236,ANTICIPATION,1263210326415163392
237,SURPRISE,1346190675633692672
238,NONE,1248372091763576832
239,ANTICIPATION,1424086225137377283
240,SURPRISE,1270762879550025729
241,JOY,1270342480958042112
242,TRUST,1268710997763788802
243,TRUST,1351382607372533760
244,SURPRISE,1267117017997479936
245,DISGUST,1428509503801151495
246,TRUST,1343329077059493888
247,SURPRISE,1263900347619213314
248,NONE,1413352214257717248
249,ANGER,1257104019127971840
250,FEAR,1314007699072389120
251,ANTICIPATION,1258154854616305665
252,SURPRISE,1401553842215571466
253,ANGER,1265336997784154113
254,JOY,1252268158292946944
255,SADNESS,1296699891855568896
256,ANTICIPATION,1293943262613364737
257,DISGUST,1327614519036817409
258,DISGUST,1275407247707795456
259,ANGER,1337832854584233985
260,DISGUST,1359333303069909001
261,ANGER,1282403086796042242
262,TRUST,1411041078430535684
263,DISGUST,1288331755594940416
264,TRUST,1331265457219727360
265,ANTICIPATION,1260694604262842369
266,JOY,1377344497235861506
267,ANGER,1274170077818916866
268,NONE,1246777572639326208
269,NONE,1338600513751773185
270,TRUST,1346547425234698240
271,DISGUST,1247419144699555842
272,ANTICIPATION,1421607252784418817
273,SURPRISE,1323630520253763584
274,NONE,1250222442687102979
275,TRUST,1363717067782955014
276,NONE,1376622998443094019
277,SADNESS,1254886898750967811
278,TRUST,1254061520570519555
279,NONE,1279825570449231873
280,NONE,1245139187915010049
281,SURPRISE,1350925223923597314
282,NONE,1422350013615677465
283,NONE,1300784034306502656
284,TRUST,1374731853702307840
285,TRUST,1461242484944683009
286,JOY,1363180570948247560
287,ANTICIPATION,1279842802399141890
288,NONE,1359343546684350464
289,JOY,1270837806852501505
290,NONE,1266407878111436800
291,NONE,1264307857157218304
292,NONE,1251555991293792256
293,DISGUST,1274466115993743362
294,DISGUST,1340121179407986689
295,TRUST,1283533371914760194
296,SURPRISE,1317624662696878081
297,SURPRISE,1265332363757838337
298,NONE,1254638903849562112
299,TRUST,1434864641830637571
300,SURPRISE,1288624299075497984
301,ANTICIPATION,1264552562277191686
302,ANTICIPATION,1321512912293384194
303,DISGUST,1288651187558821888
304,NONE,1287927542234505216
305,SADNESS,1416251472883425280
306,ANTICIPATION,1282886383057674252
307,SURPRISE,1261054019876904962
308,SADNESS,1248471132602171394
309,ANTICIPATION,1393177759996948484
310,TRUST,1248116476114079744
311,ANGER,1339449935557746688
312,SURPRISE,1423794991223255041
313,ANGER,1246645926816612352
314,TRUST,1284116490090803200
315,SURPRISE,1275533322773553153
316,FEAR,1255288024310702081
317,JOY,1250873914923900930
318,TRUST,1252417691874234368
319,SADNESS,1264453212649730050
320,JOY,1355605787666755585
321,SADNESS,1362827370470776837
322,DISGUST,1352014116223795200
323,ANGER,1345965924923404288
324,SURPRISE,1338667369451958272
325,ANGER,1247767401925492742
326,DISGUST,1404782924306825216
327,SURPRISE,1361139347257495555
328,JOY,1293189257121501186
329,NONE,1256757190926442498
330,DISGUST,1415440646345723908
331,SURPRISE,1301215368925642752
332,SURPRISE,1247021626320969733
333,SURPRISE,1286816979098038273
334,ANTICIPATION,1253337279965216772
335,TRUST,1459581398084370442
336,TRUST,1255224867265404941
337,JOY,1448312760702574593
338,TRUST,1250240512000319488
339,DISGUST,1266047797528231936
340,ANGER,1340420098914455552
341,SURPRISE,1382028296867749893
342,TRUST,1354092952356745218
343,TRUST,1277315938363244545
344,ANGER,1250184360319496199
345,ANGER,1249902701514801153
346,SURPRISE,1250463096738582529
347,JOY,1247908335833223169
348,ANGER,1379440951584776200
349,ANGER,1257061250900439042
350,TRUST,1464197307260452878
351,ANGER,1328064956978302981
352,DISGUST,1329848271821565952
353,JOY,1303304905629872130
354,NONE,1374719582229819396
355,DISGUST,1335745729948684290
356,DISGUST,1271989476433133568
357,TRUST,1430349660540055552
358,ANTICIPATION,1333529226385846272
359,SURPRISE,1418695481794957321
360,ANGER,1397661199253258242
361,DISGUST,1429327723877523459
362,SURPRISE,1320781885652520961
363,SADNESS,1258777961702068225
364,TRUST,1360975339753668612
365,TRUST,1252850162944229381
366,JOY,1293320622681006092
367,ANTICIPATION,1256981913727725568
368,ANTICIPATION,1274909993536389120
369,TRUST,1260234184536326144
370,TRUST,1347760020558139394
371,ANTICIPATION,1260483069192126472
372,SADNESS,1354270211474526208
373,FEAR,1247012855821602817
374,JOY,1365026028876349446
375,DISGUST,1277418543752065024
376,SURPRISE,1340885118328647680
377,TRUST,1252636823223824384
378,TRUST,1245060589740634112
379,ANGER,1312353234808233984
380,DISGUST,1269766280262762496
381,ANTICIPATION,1408443521724522496
382,SADNESS,1280242108461449217
383,SURPRISE,1356374276262211586
384,SADNESS,1258373588802957312
385,NONE,1317242471781457924
386,NONE,1265325229863251970
387,JOY,1381821351254585345
388,SURPRISE,1333989010130292736
389,TRUST,1247189265861271553
390,DISGUST,1367334892242141190
391,NONE,1352625855999209475
392,NONE,1262440753764204544
