,POLARITY,TWEET_ID
1,NEUTRAL,1401047081121353728
2,NEUTRAL,1258159310162595843
3,NEGATIVE,1272748988626862082
4,NEUTRAL,1349385638722883585
5,NEGATIVE,1360615587114844161
6,POSITIVE,1384487745033162755
7,NEUTRAL,1335343584875327494
8,POSITIVE,1257755579101003776
9,NEGATIVE,1280317186930851845
10,POSITIVE,1317288163065401345
11,NEUTRAL,1255373406624776194
12,POSITIVE,1387166593306841093
13,NEGATIVE,1346308397218623494
14,NEGATIVE,1449093106083762186
15,NEGATIVE,1277088043862802432
16,POSITIVE,1246594978492616706
17,POSITIVE,1344199875181871110
18,NEUTRAL,1253678034751590402
19,NEGATIVE,1245296274699628549
20,NEUTRAL,1255647686956589056
21,NEGATIVE,1425108321128824834
22,NEUTRAL,1375502470575718401
23,NEUTRAL,1252666550378655744
24,NEUTRAL,1282286476378681344
25,NEGATIVE,1347047870722174977
26,NEUTRAL,1266519595583758337
27,POSITIVE,1267871716178489345
28,NEGATIVE,1288290404992000001
29,NEUTRAL,1348170783256944640
30,NEGATIVE,1267239286069477381
31,NEGATIVE,1248653894554697732
32,NEGATIVE,1270048509849411585
33,NEUTRAL,1426708852511289344
34,NEGATIVE,1287596938863542273
35,NEGATIVE,1346478699286155267
36,NEUTRAL,1354979100239212545
37,POSITIVE,1278075797849415681
38,NEGATIVE,1316212646295855104
39,POSITIVE,1278001194271727618
40,NEUTRAL,1249343309899870209
41,POSITIVE,1381962188294774792
42,NEGATIVE,1279094934318878720
43,POSITIVE,1358314204298547200
44,POSITIVE,1260323615955988485
45,NEUTRAL,1247706191079321600
46,NEGATIVE,1341497091818987527
47,POSITIVE,1307476997757636608
48,NEUTRAL,1360252497575763973
49,NEGATIVE,1382456557942738944
50,NEUTRAL,1297172463294521344
51,NEGATIVE,1322964063291396096
52,NEGATIVE,1443052099101671427
53,NEGATIVE,1421317389497548800
54,NEGATIVE,1275820585377988608
55,NEUTRAL,1251014327265636353
56,NEUTRAL,1248104690245603330
57,POSITIVE,1268564334017470466
58,POSITIVE,1282087650753753089
59,NEGATIVE,1247544720907276293
60,NEGATIVE,1272020227887443969
61,NEUTRAL,1395508321994649611
62,NEGATIVE,1251762301813886977
63,NEUTRAL,1376225671719030786
64,NEGATIVE,1332718138782228480
65,NEGATIVE,1281386060644311040
66,NEUTRAL,1437518210581110785
67,NEUTRAL,1382699225427886094
68,NEUTRAL,1271622651186995200
69,NEGATIVE,1308295355864215555
70,NEGATIVE,1325295810549047296
71,NEGATIVE,1250266513573060608
