,EMOTION,TWEET_ID
1,NO,1401047081121353728
2,NO,1258159310162595843
3,ANTICIPA,1272748988626862082
4,ACEPTA,1349385638722883585
5,NO,1360615587114844161
6,ANTICIPA,1384487745033162755
7,ASCO,1335343584875327494
8,ALEGRIA,1257755579101003776
9,NO,1280317186930851845
10,NO,1317288163065401345
11,NO,1255373406624776194
12,ALEGRIA,1387166593306841093
13,ASCO,1346308397218623494
14,ACEPTA,1449093106083762186
15,ASCO,1277088043862802432
16,ALEGRIA,1246594978492616706
17,ALEGRIA,1344199875181871110
18,ANTICIPA,1253678034751590402
19,ANTICIPA,1245296274699628549
20,SORPRESA,1255647686956589056
21,MIEDO,1425108321128824834
22,ANTICIPA,1375502470575718401
23,ASCO,1252666550378655744
24,ANTICIPA,1282286476378681344
25,ASCO,1347047870722174977
26,ACEPTA,1266519595583758337
27,ALEGRIA,1267871716178489345
28,ENOJO,1288290404992000001
29,ALEGRIA,1348170783256944640
30,ALEGRIA,1267239286069477381
31,ENOJO,1248653894554697732
32,ACEPTA,1270048509849411585
33,NO,1426708852511289344
34,SORPRESA,1287596938863542273
35,ASCO,1346478699286155267
36,NO,1354979100239212545
37,ALEGRIA,1278075797849415681
38,ASCO,1316212646295855104
39,ALEGRIA,1278001194271727618
40,ANTICIPA,1249343309899870209
41,ALEGRIA,1381962188294774792
42,ENOJO,1279094934318878720
43,ENOJO,1358314204298547200
44,NO,1260323615955988485
45,NO,1247706191079321600
46,ACEPTA,1341497091818987527
47,ALEGRIA,1307476997757636608
48,ENOJO,1360252497575763973
49,ASCO,1382456557942738944
50,NO,1297172463294521344
51,ENOJO,1322964063291396096
52,TRISTEZA,1443052099101671427
53,MIEDO,1421317389497548800
54,ENOJO,1275820585377988608
55,NO,1251014327265636353
56,ACEPTA,1248104690245603330
57,ALEGRIA,1268564334017470466
58,ACEPTA,1282087650753753089
59,ACEPTA,1247544720907276293
60,TRISTEZA,1272020227887443969
61,ANTICIPA,1395508321994649611
62,TRISTEZA,1251762301813886977
63,ACEPTA,1376225671719030786
64,ASCO,1332718138782228480
65,SORPRESA,1281386060644311040
66,ENOJO,1437518210581110785
67,TRISTEZA,1382699225427886094
68,ASCO,1271622651186995200
69,ACEPTA,1308295355864215555
70,ACEPTA,1325295810549047296
71,ASCO,1250266513573060608
72,ANTICIPA,1339337066610614274
73,ENOJO,1272366604643377154
